"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","DMP04BLOCK","Column DMP04BLOCK (from CUSTOM_PROPERTIES) is present in CED","DMP04BLOCK","Present","32","32","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","RAVISH","Column RAVISH (from CUSTOM_PROPERTIES) is present in CED","RAVISH","Present","33","33","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","CAMPAIGN_NAME","Column CAMPAIGN_NAME (from CUSTOM_PROPERTIES) is duplicated and is already present in CED as DEFAULT column","RAVISH","Present","34","8","Column is NOT in Order Coz, there is already a SYSTEM column with same name"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","3","3","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","4","4","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","5","5","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","PROGRAM_NAME","Column PROGRAM_NAME is present in CED","PROGRAM_NAME","Present","6","6","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","PROGRAM_DESCRIPTION","Column PROGRAM_DESCRIPTION is present in CED","PROGRAM_DESCRIPTION","Present","7","7","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","FIRST_NAME","Column FIRST_NAME (from CUSTOM_PROPERTIES) is present in CED","FIRST_NAME","Present","8","8","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","LAST_NAME","Column LAST_NAME (from CUSTOM_PROPERTIES) is present in CED","LAST_NAME","Present","9","9","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","DMP01","Column DMP01 (from CUSTOM_PROPERTIES) is present in CED","DMP01","Present","10","10","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","DMP02BATCHTRIGGER","Column DMP02BATCHTRIGGER (from CUSTOM_PROPERTIES) is present in CED","DMP02BATCHTRIGGER","Present","11","11","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","DMP03PUREBATCH","Column DMP03PUREBATCH (from CUSTOM_PROPERTIES) is present in CED","DMP03PUREBATCH","Present","12","12","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","DMP04BLOCK","Column DMP04BLOCK (from CUSTOM_PROPERTIES) is present in CED","DMP04BLOCK","Present","13","13","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","RAVISH","Column RAVISH (from CUSTOM_PROPERTIES) is present in CED","RAVISH","Present","14","14","Column is in Order"
"PROGRAM_STATE","7668_PROGRAM_STATE_20191027_084303.txt","CAMPAIGN_NAME","Column CAMPAIGN_NAME (from CUSTOM_PROPERTIES) is present in CED","CAMPAIGN_NAME","Present","15","15","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","1","1","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","2","2","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","3","3","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","RIID","Column RIID is present in CED","RIID","Present","4","4","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","5","5","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","6","6","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","7","7","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","8","8","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","9","9","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","10","10","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","PUSH_ID","Column PUSH_ID is present in CED","PUSH_ID","Present","11","11","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","USER_ID","Column USER_ID is present in CED","USER_ID","Present","12","12","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","APP_ID","Column APP_ID is present in CED","APP_ID","Present","13","13","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","REASON","Column REASON is present in CED","REASON","Present","14","14","Column is in Order"
"PUSH_FAILED","7668_PUSH_FAILED_20191027_084300.txt","PLATFORM_TYPE","Column PLATFORM_TYPE is present in CED","PLATFORM_TYPE","Present","15","15","Column is in Order"
"PUSH_OPENED","7668_PUSH_OPENED_20191027_084301.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"PUSH_OPENED","7668_PUSH_OPENED_20191027_084301.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","1","1","Column is in Order"
"PUSH_OPENED","7668_PUSH_OPENED_20191027_084301.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","2","2","Column is in Order"
"PUSH_OPENED","7668_PUSH_OPENED_20191027_084301.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","3","3","Column is in Order"
"PUSH_OPENED","7668_PUSH_OPENED_20191027_084301.txt","RIID","Column RIID is present in CED","RIID","Present","4","4","Column is in Order"
"PUSH_OPENED","7668_PUSH_OPENED_20191027_084301.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","5","5","Column is in Order"
