"ACCOUNT_ID","LIST_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME","FIRST_NAME","LAST_NAME","DMP01","DMP02BATCHTRIGGER","DMP03PUREBATCH","DMP04BLOCK","RAVISH"
"7668","2441","27-Oct-2019 13:15:45","27-Oct-2019 13:15:58","7221","30440141","","","Sh_SanityEmail01","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 13:15:45","","PromotionalCampaign","193482941","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:44","27-Oct-2019 13:15:59","7221","30440121","","","Sh_SanityEmail01","","B","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 13:15:44","","PromotionalCampaign","193482781","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:48","27-Oct-2019 13:16:03","7221","30440121","","","Sh_SanityEmail01","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","193482781","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:48","27-Oct-2019 13:16:03","7221","30440121","","","Sh_SanityEmail01","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","193482781","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:49","27-Oct-2019 13:16:04","7221","30440141","","","Sh_SanityEmail01","","L","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","193482941","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:49","27-Oct-2019 13:16:04","7221","30440141","","","Sh_SanityEmail01","","S","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","","PromotionalCampaign","193482941","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:55","27-Oct-2019 13:16:04","7221","5521","","","Sh_SanityEmail01","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 13:15:55","27-Oct-2019 13:15:55","PromotionalCampaign","","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:55","27-Oct-2019 13:16:04","7221","30440121","","","Sh_SanityEmail01","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 13:15:55","PromotionalCampaign","193482781","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:55","27-Oct-2019 13:16:04","7221","30440141","","","Sh_SanityEmail01","","C","S","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","","27-Oct-2019 13:15:55","PromotionalCampaign","193482941","","ipush","","","","","","",""
"7668","2441","27-Oct-2019 13:15:56","27-Oct-2019 13:16:05","7221","5521","","","Sh_SanityEmail01","","C","X","ISO-8859-1","P","Campaign Name: ${campaign.name} Campaign ID: ${campaign.id} Launch ID: ${launch.id} RIID is ${RIID_}","","","","","","","27-Oct-2019 13:15:56","27-Oct-2019 13:15:56","PromotionalCampaign","","","ipush","","","","","","",""
