"EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","PUSH_ID","USER_ID","APP_ID","REASON","PLATFORM_TYPE"
"4e7765de-153f-4e05-ab38-e3bf86977671","508","7668","49961","3721338561","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","1E030539-1A44-44E9-BA09-67DEE42B3F9F","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"7cd672da-7abe-4722-bb2a-9ab90348e13a","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"bc233c51-17c2-443b-b636-69e0fb77aec7","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"a3c66dab-6c1b-4460-ba96-bafe049e14b6","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"1345d98d-47bd-4e9c-be17-3411fd137265","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"373782d2-8666-4ca9-a71b-1de14fbb833e","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"dcde2ba6-fb44-4e1a-9e39-d3162f0a67db","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"3ec95b29-d384-42b2-88db-67f0f22a4fbc","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"f42efef0-9019-42cf-8fe7-93685c0a0a06","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"4fc70ed9-dbc7-4df9-aba5-cf4726a2f402","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"09dd7ecf-a177-47ec-89be-185be48801c5","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"0dd95829-f7d5-4bad-b50d-2c85175e35b3","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
"bd027aaa-33c4-4237-a574-505b0461ff72","508","7668","49961","3721111141","","26-Oct-2019 16:12:55","26-Oct-2019 16:13:10","193501861","30081201","193502181","7C3786B4-DEDA-4517-B148-C7027C192FC2","","1","The Push channel list associated to campaign =007_04_Beacon_Entry_RichPush is different than the channel list associated to app =pushio-ri-qa1","ios"
