"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","RESULT_FIELDS","Column RESULT_FIELDS is present in CED","RESULT_FIELDS","Present","12","12","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","REASON","Column REASON is present in CED","REASON","Present","13","13","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","ENACTMENT_ID","Column ENACTMENT_ID is present in CED","ENACTMENT_ID","Present","14","14","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","GRP_ENACTMENT_ID","Column GRP_ENACTMENT_ID is present in CED","GRP_ENACTMENT_ID","Present","15","15","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","PERSONALIZATION_DT","Column PERSONALIZATION_DT is present in CED","PERSONALIZATION_DT","Present","16","16","Column is in Order"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20200130_085101.txt","CAMPAIGN_VERSION_ID","Column CAMPAIGN_VERSION_ID is present in CED","CAMPAIGN_VERSION_ID","Present","17","17","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","1","1","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","2","2","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","3","3","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","RIID","Column RIID is present in CED","RIID","Present","4","4","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","5","5","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","6","6","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20200130_085101.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","7","7","Column is in Order"
