"Event Types","Column Name"
"DYNAMIC_CONTENT","EVENT_UUID","ACCOUNT_ID","LIST_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","REGION_NAME","RULE_NAME","CONTENT_TYPE","CONTENT","EMAIL_FORMAT","SIGNATURE_ID","SIGNATURE","CONTENT_INDEX"
"LAUNCH_STATE","ACCOUNT_ID","LIST_ID","EXT_CAMPAIGN_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME"
"OPT_IN","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL_FORMAT","SOURCE","REASON","EMAIL","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID"
"OPT_OUT","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL_FORMAT","SOURCE","REASON","EMAIL","CONTACT_INFO","CAMPAIGN_VERSION_ID","PERSONALIZATION_DT","RECIPIENT_ORG_ID","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID"
"PROGRAM_STATE","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","PROGRAM_ID","PROGRAM_NAME","PROGRAM_DESCRIPTION","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID"
"SENT","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL","EMAIL_ISP","EMAIL_FORMAT","OFFER_SIGNATURE_ID","DYNAMIC_CONTENT_SIGNATURE_ID","MESSAGE_SIZE","SEGMENT_INFO","CONTACT_INFO","CAMPAIGN_NAME","CAMPAIGN_VERSION_ID","PERSONALIZATION_DT","RECIPIENT_ORG_ID","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID"
"SKIPPED","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL","EMAIL_ISP","EMAIL_FORMAT","OFFER_SIGNATURE_ID","DYNAMIC_CONTENT_SIGNATURE_ID","MESSAGE_SIZE","SEGMENT_INFO","CONTACT_INFO","REASON","CAMPAIGN_VERSION_ID","PERSONALIZATION_DT","RECIPIENT_ORG_ID","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID"
"SMS_DELIVERED","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_NUMBER","MOBILE_CHANNEL","MOBILE_CARRIER","SMS_SENT_UUID","DELIVERED_FLAG","AGGREGATOR_MESSAGE_ID","AGGREGATOR_MESSAGE_SUBID","AGGREGATOR_STATUS_CODE","AGGREGATOR_STATUS_DESC"
"SMS_FAIL","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_NUMBER","MOBILE_CHANNEL","MOBILE_KEYWORD","OFFER_SIGNATURE_ID","REASON","FIRST_NAME","LAST_NAME","DOB","HINDI","CHINES","JAPANESE","ARABIC","RUSSIAN","GREEK","ALBANIAN","LATVIAN","KOREAN"
"SMS_OPT_IN","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","RIID","EVENT_CAPTURED_DT","EVENT_STORED_DT","AGGREGATOR_ID","LIST_ID","LAUNCH_ID","CAMPAIGN_ID","PROGRAM_ID","MOBILE_CODE","MOBILE_NUMBER","MOBILE_KEYWORD","MOBILE_COUNTRY","MOBILE_CARRIER","SOURCE","REASON","CUSTOMER_ID"
"SMS_RECEIVED","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_NUMBER","MOBILE_KEYWORD","MOBILE_CARRIER","AGGREGATOR_MESSAGE_ID","MSG_BODY"
"SMS_SENT","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_CHANNEL","MOBILE_KEYWORD","OFFER_SIGNATURE_ID","MSG_SPLIT_COUNT","MESSAGE","MOBILE_NUMBER","CAMPAIGN_NAME","FIRST_NAME","LAST_NAME","DOB","HINDI","CHINES","JAPANESE","ARABIC","RUSSIAN","GREEK","ALBANIAN","LATVIAN","KOREAN"
