"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"CONVERT","30336_CONVERT_20191218_071701.txt","DEVICE_TYPE_INFO","Column DEVICE_TYPE_INFO is present in CED","DEVICE_TYPE_INFO","Present","23","23","Column is in Order"
"CONVERT","30336_CONVERT_20191218_071701.txt","CAMPAIGN_VERSION_ID","Column CAMPAIGN_VERSION_ID is present in CED","CAMPAIGN_VERSION_ID","Present","24","24","Column is in Order"
"CONVERT","30336_CONVERT_20191218_071701.txt","PERSONALIZATION_DT","Column PERSONALIZATION_DT is present in CED","PERSONALIZATION_DT","Present","25","25","Column is in Order"
"CONVERT","30336_CONVERT_20191218_071701.txt","RECIPIENT_ORG_ID","Column RECIPIENT_ORG_ID is present in CED","RECIPIENT_ORG_ID","Present","26","26","Column is in Order"
"CONVERT","30336_CONVERT_20191218_071701.txt","REMOTE_ADDR","Column REMOTE_ADDR is present in CED","REMOTE_ADDR","Present","27","27","Column is in Order"
"CONVERT","30336_CONVERT_20191218_071701.txt","EMAIL_FIRSTNAME","Column EMAIL_FIRSTNAME (from CUSTOM_PROPERTIES) is present in CED","EMAIL_FIRSTNAME","Present","28","28","Column is in Order"
"CONVERT","30336_CONVERT_20191218_071701.txt","EMAIL_LASTNAME","Column EMAIL_LASTNAME (from CUSTOM_PROPERTIES) is present in CED","EMAIL_LASTNAME","Present","29","29","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","1","1","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","2","2","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","3","3","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","RIID","Column RIID is present in CED","RIID","Present","4","4","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","5","5","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","6","6","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","7","7","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","8","8","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","9","9","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","10","10","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","PUSH_ID","Column PUSH_ID is present in CED","PUSH_ID","Present","11","11","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","PUSHIO_API_KEY","Column PUSHIO_API_KEY is present in CED","PUSHIO_API_KEY","Present","12","12","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","PLATFORM_TYPE","Column PLATFORM_TYPE is present in CED","PLATFORM_TYPE","Present","13","13","Column is in Order"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20191218_071702.txt","APP_ID","Column APP_ID is present in CED","APP_ID","Present","14","14","Column is in Order"
