"EVENT_TYPE","FILE_NAME","KEY","ID","COUNT_FROM_CED","COUNT_FROM_DB","EventsToBeProcessed","Eventsalready_processed","STATUS","Comments"
"OPEN","30336_OPEN_20210317_091648.txt","LAUNCH_ID","200820201","3","3","3","0","Pass","Count for the ID Match"
"WEBPUSH_OPENED","30336_WEBPUSH_OPENED_20210317_091649.txt","LAUNCH_ID","200820204","2","2","2","0","Pass","Count for the ID Match"
"PUSH_BOUNCED","30336_PUSH_BOUNCED_20210317_091648.txt","LAUNCH_ID","200820203","1","1","1","0","Pass","Count for the ID Match"
"PUSH_UNINSTALL","30336_PUSH_UNINSTALL_20210317_091649.txt","RIID","76001941","1","1","1","0","Pass","Count for the ID Match"
"SMS_SKIPPED","30336_SMS_SKIPPED_20210317_091648.txt","LAUNCH_ID","200820202","2","2","2","0","Pass","Count for the ID Match"
"PUSH_SKIPPED","30336_PUSH_SKIPPED_20210317_091648.txt","LAUNCH_ID","200820203","2","2","2","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","199701","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","200881","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204081","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204181","1","1","1","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","198901","4","0","0","0","Fail","No Data found in LAUNCH_STATE table for LAUNCH_ID : 198901"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","200901","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202521","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","199281","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","203681","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","200481","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","198881","4","0","0","0","Fail","No Data found in LAUNCH_STATE table for LAUNCH_ID : 198881"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204881","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204101","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","200820201","1","1","1","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","198481","4","0","0","0","Fail","No Data found in LAUNCH_STATE table for LAUNCH_ID : 198481"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204581","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204501","1","1","1","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204201","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202481","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","201701","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","201681","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204481","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202561","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","203281","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","199681","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204121","1","1","1","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204601","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","5161","7","6","1","0","Fail","Count for the ID does not Match. Seems Records are Purged for LAUNCH_STATE table"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","10781","23","25","6","0","Fail","Count for the ID does not Match. Seems Records are Purged for LAUNCH_STATE table"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","200081","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202881","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202081","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","201281","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","204561","1","1","1","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","203301","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202501","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202541","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","30336_LAUNCH_STATE_20210317_091649.txt","LAUNCH_ID","202901","4","4","4","0","Pass","Count for the ID Match"
"PUSH_OPENED","30336_PUSH_OPENED_20210317_091648.txt","LAUNCH_ID","200820203","3","3","3","0","Pass","Count for the ID Match"
