"FileName","ID","DataFromCED","DataFromDB","Status"
"30336_CONVERT_20191218_071701.txt","1462","Firefox","None","row=17,col=20: Data for column BROWSER_INFO is NOT matching. Data_In_CED:Firefox & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Microsoft","None","row=17,col=21: Data for column OS_VENDOR_INFO is NOT matching. Data_In_CED:Microsoft & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Windows","None","row=17,col=22: Data for column OPERATING_SYSTEM_INFO is NOT matching. Data_In_CED:Windows & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Desktop","None","row=17,col=23: Data for column DEVICE_TYPE_INFO is NOT matching. Data_In_CED:Desktop & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Web browser","None","row=18,col=19: Data for column BROWSER_TYPE_INFO is NOT matching. Data_In_CED:Web browser & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Firefox","None","row=18,col=20: Data for column BROWSER_INFO is NOT matching. Data_In_CED:Firefox & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Microsoft","None","row=18,col=21: Data for column OS_VENDOR_INFO is NOT matching. Data_In_CED:Microsoft & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Windows","None","row=18,col=22: Data for column OPERATING_SYSTEM_INFO is NOT matching. Data_In_CED:Windows & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Desktop","None","row=18,col=23: Data for column DEVICE_TYPE_INFO is NOT matching. Data_In_CED:Desktop & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Web browser","None","row=19,col=19: Data for column BROWSER_TYPE_INFO is NOT matching. Data_In_CED:Web browser & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Firefox","None","row=19,col=20: Data for column BROWSER_INFO is NOT matching. Data_In_CED:Firefox & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Microsoft","None","row=19,col=21: Data for column OS_VENDOR_INFO is NOT matching. Data_In_CED:Microsoft & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Windows","None","row=19,col=22: Data for column OPERATING_SYSTEM_INFO is NOT matching. Data_In_CED:Windows & Data_in_DB:None"
"30336_CONVERT_20191218_071701.txt","1462","Desktop","None","row=19,col=23: Data for column DEVICE_TYPE_INFO is NOT matching. Data_In_CED:Desktop & Data_in_DB:None"
