"EVENT_TYPE","FILE_NAME","KEY","ID","COUNT_FROM_CED","COUNT_FROM_DB","EventsToBeProcessed","Eventsalready_processed","STATUS","Comments"
"OPEN","30336_OPEN_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"OPT_IN","30336_OPT_IN_20190827_051102.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"OPT_IN","30336_OPT_IN_20190827_051102.txt","RIID","2001081","1","1","1","0","Pass","Count for the ID Match"
"OPT_IN","30336_OPT_IN_20190827_051102.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"OPT_IN","30336_OPT_IN_20190827_051102.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"OPT_OUT","30336_OPT_OUT_20190827_051102.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"OPT_OUT","30336_OPT_OUT_20190827_051102.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"OPT_OUT","30336_OPT_OUT_20190827_051102.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"PROGRAM_STATE","30336_PROGRAM_STATE_20190827_051103.txt","PROGRAM_ID","2921","4","4","4","0","Pass","Count for the ID Match"
"PROGRAM_STATE","30336_PROGRAM_STATE_20190827_051103.txt","PROGRAM_ID","3061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_BOUNCED","30336_PUSH_BOUNCED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_BOUNCED","30336_PUSH_BOUNCED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_CLICKED","30336_PUSH_CLICKED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_CLICKED","30336_PUSH_CLICKED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_FAILED","30336_PUSH_FAILED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_FAILED","30336_PUSH_FAILED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_INBOX_SENT","30336_PUSH_INBOX_SENT_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_INBOX_SENT","30336_PUSH_INBOX_SENT_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_OPENED","30336_PUSH_OPENED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPENED","30336_PUSH_OPENED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_OPT_IN","30336_PUSH_OPT_IN_20190827_051103.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_IN","30336_PUSH_OPT_IN_20190827_051103.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_IN","30336_PUSH_OPT_IN_20190827_051103.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_OUT","30336_PUSH_OPT_OUT_20190827_051103.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_OUT","30336_PUSH_OPT_OUT_20190827_051103.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_OUT","30336_PUSH_OPT_OUT_20190827_051103.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"PUSH_SENT","30336_PUSH_SENT_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_SENT","30336_PUSH_SENT_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_SKIPPED","30336_PUSH_SKIPPED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"PUSH_SKIPPED","30336_PUSH_SKIPPED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"PUSH_UNINSTALL","30336_PUSH_UNINSTALL_20190827_051103.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"PUSH_UNINSTALL","30336_PUSH_UNINSTALL_20190827_051103.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"PUSH_UNINSTALL","30336_PUSH_UNINSTALL_20190827_051103.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2101","160","160","160","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2221","65","65","65","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2061","161","161","161","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","1901","20","20","20","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2601","160","160","160","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2201","65","65","65","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2621","65","65","65","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20190827_051100.txt","LAUNCH_ID","2001","160","160","160","0","Pass","Count for the ID Match"
"SKIPPED","30336_SKIPPED_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SKIPPED","30336_SKIPPED_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_CLICK","30336_SMS_CLICK_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_CLICK","30336_SMS_CLICK_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_CONVERT","30336_SMS_CONVERT_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_CONVERT","30336_SMS_CONVERT_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_MO_FW_SENT","30336_SMS_MO_FW_SENT_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_MO_FW_SENT","30336_SMS_MO_FW_SENT_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_OPT_IN","30336_SMS_OPT_IN_20190827_051103.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_IN","30336_SMS_OPT_IN_20190827_051103.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_IN","30336_SMS_OPT_IN_20190827_051103.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_OUT","30336_SMS_OPT_OUT_20190827_051103.txt","RIID","8121","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_OUT","30336_SMS_OPT_OUT_20190827_051103.txt","RIID","8042","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_OUT","30336_SMS_OPT_OUT_20190827_051103.txt","RIID","8041","1","1","1","0","Pass","Count for the ID Match"
"SMS_RECEIVED","30336_SMS_RECEIVED_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_RECEIVED","30336_SMS_RECEIVED_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_SENT","30336_SMS_SENT_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_SENT","30336_SMS_SENT_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"SMS_SKIPPED","30336_SMS_SKIPPED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"SMS_SKIPPED","30336_SMS_SKIPPED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
