"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","PRODUCT_CATEGORY","Column PRODUCT_CATEGORY is present in CED","PRODUCT_CATEGORY","Present","17","17","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","PRODUCT_TYPE","Column PRODUCT_TYPE is present in CED","PRODUCT_TYPE","Present","18","18","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","MARKETING_STRATEGY","Column MARKETING_STRATEGY is present in CED","MARKETING_STRATEGY","Present","19","19","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","MARKETING_PROGRAM","Column MARKETING_PROGRAM is present in CED","MARKETING_PROGRAM","Present","20","20","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","LAUNCH_ERROR_CODE","Column LAUNCH_ERROR_CODE is present in CED","LAUNCH_ERROR_CODE","Present","21","21","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","LAUNCH_STARTED_DT","Column LAUNCH_STARTED_DT is present in CED","LAUNCH_STARTED_DT","Present","22","22","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","LAUNCH_COMPLETED_DT","Column LAUNCH_COMPLETED_DT is present in CED","LAUNCH_COMPLETED_DT","Present","23","23","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","FIRST_NAME","Present","24","28","Column is NOT in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","BRAND_ID","Column BRAND_ID is present in CED","LAST_NAME","Present","25","29","Column is NOT in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","CREATOR_NAME","Column CREATOR_NAME is present in CED","DISPATCHABLE_CREATED_USER_ID","Present","26","30","Column is NOT in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","DISPATCHABLE_TYPE","Column DISPATCHABLE_TYPE is present in CED","DISPATCHABLE_TYPE","Present","27","27","Column is in Order"
