"Event Types","Column Name"
"APPCLOUD_FAILED","ACCOUNT_ID","EVENT_CAPTURED_DT","LIST_ID","RIID","CUSTOMER_ID","CAMPAIGN_ID","LAUNCH_ID","APP_ID","CLIENT_ID","REASON","EVENT_TYPE_ID","EVENT_STORED_DT"
"APPCLOUD_SENT","ACCOUNT_ID","EVENT_CAPTURED_DT","LIST_ID","RIID","CUSTOMER_ID","CAMPAIGN_ID","LAUNCH_ID","APP_ID","CLIENT_ID","EVENT_TYPE_ID","EVENT_STORED_DT"
"SMS_MO_FW_FAILED","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_NUMBER","MOBILE_KEYWORD","MO_MSG","FAILURE_REASON"
"CUSTOM_CHANNEL_SKIPPED","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","PARTNER_ID","CUSTOM_PARAMS","RESULT_FIELDS","REASON","ENACTMENT_ID","GRP_ENACTMENT_ID","PERSONALIZATION_DT","CAMPAIGN_VERSION_ID"
"PUSH_CONVERTED","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","PUSH_ID","PUSHIO_API_KEY","PLATFORM_TYPE","APP_ID"
"CLICK","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL_FORMAT","OFFER_NAME","OFFER_NUMBER","OFFER_CATEGORY","OFFER_URL","USER_AGENT_STRING","BROWSER_TYPE_INFO","BROWSER_INFO","OS_VENDOR_INFO","OPERATING_SYSTEM_INFO","DEVICE_TYPE_INFO","CAMPAIGN_VERSION_ID","PERSONALIZATION_DT","RECIPIENT_ORG_ID","REMOTE_ADDR","EMAIL_FIRSTNAME","EMAIL_LASTNAME"
"CUSTOM_CHANNEL_SENT","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","PARTNER_ID","CUSTOM_PARAMS","ENACTMENT_ID","GRP_ENACTMENT_ID","PERSONALIZATION_DT","CAMPAIGN_VERSION_ID"
"SMS_FAIL","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_NUMBER","MOBILE_CHANNEL","MOBILE_KEYWORD","OFFER_SIGNATURE_ID","REASON","SMS_FIRSTNAME","SMS_LASTNAME"
"MMS_FAILED","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","AGGREGATOR_ID","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_NUMBER","MOBILE_CHANNEL","OFFER_SIGNATURE_ID","REASON"
"WEBPUSH_BUTTON_CLICKED","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","VISITOR_ID","API_KEY","APP_ID","PLATFORM_TYPE","BUTTON_CLICK_ID","BUTTON_NAME","BUTTON_URL"
"SKIPPED","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL","EMAIL_ISP","EMAIL_FORMAT","OFFER_SIGNATURE_ID","DYNAMIC_CONTENT_SIGNATURE_ID","MESSAGE_SIZE","SEGMENT_INFO","CONTACT_INFO","REASON","CAMPAIGN_VERSION_ID","PERSONALIZATION_DT","RECIPIENT_ORG_ID","EMAIL_FIRSTNAME","EMAIL_LASTNAME"
"PUSH_INBOX_SENT","EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","PUSH_ID","APP_ID","PLATFORM_TYPE","USER_ID","INBOX_ID"
