"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","1","1","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","2","2","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","7","7","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","9","9","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","PROGRAM_ID","Column PROGRAM_ID is present in CED","PROGRAM_ID","Present","10","10","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","PUSH_ID","Column PUSH_ID is present in CED","PUSH_ID","Present","11","11","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","PUSHIO_API_KEY","Column PUSHIO_API_KEY is present in CED","PUSHIO_API_KEY","Present","12","12","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","APP_ID","Column APP_ID is present in CED","APP_ID","Present","13","13","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","PLATFORM_TYPE","Column PLATFORM_TYPE is present in CED","PLATFORM_TYPE","Present","14","14","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","USER_AGENT_STRING","Column USER_AGENT_STRING is present in CED","USER_AGENT_STRING","Present","15","15","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","BUTTON_ID","Column BUTTON_ID is present in CED","BUTTON_ID","Present","16","16","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","CATEGORY_ID","Column CATEGORY_ID is present in CED","CATEGORY_ID","Present","17","17","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","BUTTON_NAME","Column BUTTON_NAME is present in CED","BUTTON_NAME","Present","18","18","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","BUTTON_TYPE","Column BUTTON_TYPE is present in CED","BUTTON_TYPE","Present","19","19","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","ACTION_URL","Column ACTION_URL is present in CED","ACTION_URL","Present","20","20","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","CATEGORY_NAME","Column CATEGORY_NAME is present in CED","CATEGORY_NAME","Present","21","21","Column is in Order"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20191218_071702.txt","CATEGORY_IDENTIFIER","Column CATEGORY_IDENTIFIER is present in CED","CATEGORY_IDENTIFIER","Present","22","22","Column is in Order"
