"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"CLICK","30236_CLICK_20190725_085101.txt","EVENT_TYPE_ID","Column EVENT_TYPE_ID is present in CED","EVENT_TYPE_ID","Present","0","0","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","RIID","Column RIID is present in CED","RIID","Present","3","3","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","CUSTOMER_ID","Column CUSTOMER_ID is present in CED","CUSTOMER_ID","Present","4","4","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","5","5","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","6","6","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","7","7","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","8","8","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","EMAIL_FORMAT","Column EMAIL_FORMAT is present in CED","EMAIL_FORMAT","Present","9","9","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","OFFER_NAME","Column OFFER_NAME is present in CED","OFFER_NAME","Present","10","10","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","OFFER_NUMBER","Column OFFER_NUMBER is present in CED","OFFER_NUMBER","Present","11","11","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","OFFER_CATEGORY","Column OFFER_CATEGORY is present in CED","OFFER_CATEGORY","Present","12","12","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","OFFER_URL","Column OFFER_URL is present in CED","OFFER_URL","Present","13","13","Column is in Order"
"CLICK","30236_CLICK_20190725_085101.txt","USER_AGENT_STRING","Column USER_AGENT_STRING is missing","N/A","Missing","14","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","BROWSER_TYPE_INFO","Column BROWSER_TYPE_INFO is missing","N/A","Missing","15","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","BROWSER_INFO","Column BROWSER_INFO is missing","N/A","Missing","16","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","OS_VENDOR_INFO","Column OS_VENDOR_INFO is missing","N/A","Missing","17","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","OPERATING_SYSTEM_INFO","Column OPERATING_SYSTEM_INFO is missing","N/A","Missing","18","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","DEVICE_TYPE_INFO","Column DEVICE_TYPE_INFO is missing","N/A","Missing","19","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","CAMPAIGN_VERSION_ID","Column CAMPAIGN_VERSION_ID is missing","N/A","Missing","20","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","PERSONALIZATION_DT","Column PERSONALIZATION_DT is missing","N/A","Missing","21","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","RECIPIENT_ORG_ID","Column RECIPIENT_ORG_ID is missing","N/A","Missing","22","N/A","list index out of range"
"CLICK","30236_CLICK_20190725_085101.txt","REMOTE_ADDR","Column REMOTE_ADDR is missing","N/A","Missing","23","N/A","list index out of range"
"LAUNCH_STATE","30236_LAUNCH_STATE_20190725_085101.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","0","0","Column is in Order"
"LAUNCH_STATE","30236_LAUNCH_STATE_20190725_085101.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","1","1","Column is in Order"
