"ACCOUNT_ID","LIST_ID","EXT_CAMPAIGN_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","FIRST_NAME","LAST_NAME","DISPATCHABLE_CREATED_USER_ID","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME"
"100341","3441",,"02-Jun-2019 21:25:26","02-Jun-2019 21:25:41","4108401","66515881","","","Soham_29thMay_Cust_2","","L","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 21:25:26","02-Jun-2019 21:25:41","4108401","66515881","","","Soham_29thMay_Cust_2","","S","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 21:25:27","02-Jun-2019 21:25:42","4108401","66515881","","","Soham_29thMay_Cust_2","","C","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","02-Jun-2019 21:25:27","","","","SmsCampaign","4108461","","progtm"
"100341","23461",,"02-Jun-2019 12:37:10","02-Jun-2019 12:37:25","4123861","66515621","","","Soham_18thJune_Cust_1","","B","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","02-Jun-2019 12:37:10","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 12:37:11","02-Jun-2019 12:37:26","4123861","66515621","","","Soham_18thJune_Cust_1","","L","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 12:37:11","02-Jun-2019 12:37:26","4123861","66515621","","","Soham_18thJune_Cust_1","","S","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 12:37:13","02-Jun-2019 12:37:28","4123861","66515621","","","Soham_18thJune_Cust_1","","C","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","02-Jun-2019 12:37:13","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 12:39:11","02-Jun-2019 12:39:26","4140221","66515641","","","Soham_4thJuly_Cust_1","","B","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","02-Jun-2019 12:39:11","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 12:39:12","02-Jun-2019 12:39:27","4140221","66515641","","","Soham_4thJuly_Cust_1","","L","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 12:39:12","02-Jun-2019 12:39:27","4140221","66515641","","","Soham_4thJuly_Cust_1","","S","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 12:39:13","02-Jun-2019 12:39:28","4140221","66515641","","","Soham_4thJuly_Cust_1","","C","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","02-Jun-2019 12:39:13","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 12:54:17","02-Jun-2019 12:54:28","78441","66515661","","","Soham_23rdApril_Cust_1","","B","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","02-Jun-2019 12:54:17","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 12:54:17","02-Jun-2019 12:54:28","78441","66515661","","","Soham_23rdApril_Cust_1","","L","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 12:54:18","02-Jun-2019 12:54:33","78441","66515661","","","Soham_23rdApril_Cust_1","","S","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 12:54:19","02-Jun-2019 12:54:34","78441","66515661","","","Soham_23rdApril_Cust_1","","C","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","02-Jun-2019 12:54:19","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 13:15:22","02-Jun-2019 13:15:33","57941","66515681","","","Soham_Cust_9thApril_Help","","B","S","ISO-8859-1","P","","Soham_Cust_9thApril_Help","","","","","","02-Jun-2019 13:15:22","","","","","SmsCampaign","58061","","progtm"
"100341","23461",,"02-Jun-2019 13:15:23","02-Jun-2019 13:15:34","57941","66515681","","","Soham_Cust_9thApril_Help","","L","S","ISO-8859-1","P","","Soham_Cust_9thApril_Help","","","","","","","","","","","SmsCampaign","58061","","progtm"
"100341","23461",,"02-Jun-2019 13:15:23","02-Jun-2019 13:15:38","57941","66515681","","","Soham_Cust_9thApril_Help","","S","S","ISO-8859-1","P","","Soham_Cust_9thApril_Help","","","","","","","","","","","SmsCampaign","58061","","progtm"
"100341","23461",,"02-Jun-2019 13:15:24","02-Jun-2019 13:15:39","57941","66515681","","","Soham_Cust_9thApril_Help","","C","S","ISO-8859-1","P","","Soham_Cust_9thApril_Help","","","","","","","02-Jun-2019 13:15:24","","","","SmsCampaign","58061","","progtm"
"100341","3441",,"02-Jun-2019 13:25:24","02-Jun-2019 13:25:39","4108401","66515701","","","Soham_29thMay_Cust_2","","B","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","02-Jun-2019 13:25:24","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 13:25:25","02-Jun-2019 13:25:40","4108401","66515701","","","Soham_29thMay_Cust_2","","L","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 13:25:25","02-Jun-2019 13:25:40","4108401","66515701","","","Soham_29thMay_Cust_2","","S","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 13:25:26","02-Jun-2019 13:25:41","4108401","66515701","","","Soham_29thMay_Cust_2","","C","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","02-Jun-2019 13:25:26","","","","SmsCampaign","4108461","","progtm"
"100341","23461",,"02-Jun-2019 16:39:17","02-Jun-2019 16:39:27","4140221","66515721","","","Soham_4thJuly_Cust_1","","L","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 16:39:17","02-Jun-2019 16:39:27","4140221","66515721","","","Soham_4thJuly_Cust_1","","S","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 16:39:14","02-Jun-2019 16:39:29","4123861","66515741","","","Soham_18thJune_Cust_1","","B","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","02-Jun-2019 16:39:14","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 16:39:16","02-Jun-2019 16:39:31","4123861","66515741","","","Soham_18thJune_Cust_1","","L","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 16:39:16","02-Jun-2019 16:39:31","4123861","66515741","","","Soham_18thJune_Cust_1","","S","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 16:39:16","02-Jun-2019 16:39:31","4140221","66515721","","","Soham_4thJuly_Cust_1","","B","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","02-Jun-2019 16:39:16","","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 16:39:17","02-Jun-2019 16:39:32","4123861","66515741","","","Soham_18thJune_Cust_1","","C","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","02-Jun-2019 16:39:17","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"02-Jun-2019 16:39:18","02-Jun-2019 16:39:33","4140221","66515721","","","Soham_4thJuly_Cust_1","","C","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","02-Jun-2019 16:39:18","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"02-Jun-2019 16:54:10","02-Jun-2019 16:54:25","78441","66515761","","","Soham_23rdApril_Cust_1","","B","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","02-Jun-2019 16:54:10","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 16:54:11","02-Jun-2019 16:54:26","78441","66515761","","","Soham_23rdApril_Cust_1","","L","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 16:54:11","02-Jun-2019 16:54:26","78441","66515761","","","Soham_23rdApril_Cust_1","","S","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","","","","","SmsCampaign","4085201","","progtm"
"100341","23461",,"02-Jun-2019 16:54:12","02-Jun-2019 16:54:27","78441","66515761","","","Soham_23rdApril_Cust_1","","C","S","ISO-8859-1","P","","Soham_23rdApril_Cust_1","","","","","","","02-Jun-2019 16:54:12","","","","SmsCampaign","4085201","","progtm"
"100341","3441",,"02-Jun-2019 17:26:21","02-Jun-2019 17:26:27","4108401","66515781","","","Soham_29thMay_Cust_2","","B","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","02-Jun-2019 17:26:21","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 17:26:22","02-Jun-2019 17:26:27","4108401","66515781","","","Soham_29thMay_Cust_2","","L","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","","","","","SmsCampaign","4108461","","progtm"
"100341","3441",,"02-Jun-2019 17:26:22","02-Jun-2019 17:26:27","4108401","66515781","","","Soham_29thMay_Cust_2","","S","S","ISO-8859-1","P","","Soham_29thMay_Cust_2","","","","","","","","","","","SmsCampaign","4108461","","progtm"
"100341","23461",,"03-Jun-2019 00:39:23","03-Jun-2019 00:39:29","4140221","66515921","","","Soham_4thJuly_Cust_1","","C","S","ISO-8859-1","P","","Soham_4thJuly_Cust_1","","","","","","","03-Jun-2019 00:39:23","","","","SmsCampaign","4140341","","progtm"
"100341","23461",,"03-Jun-2019 00:39:14","03-Jun-2019 00:39:29","4123861","66515901","","","Soham_18thJune_Cust_1","","B","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","03-Jun-2019 00:39:14","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"03-Jun-2019 00:39:15","03-Jun-2019 00:39:30","4123861","66515901","","","Soham_18thJune_Cust_1","","L","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","","","","","SmsCampaign","4123941","","progtm"
"100341","23461",,"03-Jun-2019 00:39:15","03-Jun-2019 00:39:30","4123861","66515901","","","Soham_18thJune_Cust_1","","S","S","ISO-8859-1","P","","Soham_18thJune_Cust_1","","","","","","","","","","","SmsCampaign","4123941","","progtm"
